Timestamp (UTC_TIME),XBH4.EXPT.NP04.012:COUNTS,XBH4.GENERALTRIGGER:TIMESTAMP_COUNT
2018-10-10 18:00:16.935,60,60
2018-10-10 18:00:31.335,623,623
2018-10-10 18:00:49.335,1005,1005
2018-10-10 18:01:03.735,1091,1091
2018-10-10 18:01:21.735,1059,1059
2018-10-10 18:01:36.135,1047,1047
2018-10-10 18:01:54.135,1024,1024
2018-10-10 18:02:08.535,1038,1038
2018-10-10 18:02:26.535,860,860
2018-10-10 18:02:40.935,617,617
2018-10-10 18:02:58.935,525,525
2018-10-10 18:03:13.335,617,617
2018-10-10 18:03:31.335,562,562
2018-10-10 18:03:45.735,552,552
2018-10-10 18:04:03.735,541,541
2018-10-10 18:04:18.135,443,443
2018-10-10 18:04:36.135,284,284
2018-10-10 18:04:50.535,303,303
2018-10-10 18:05:08.535,285,285
2018-10-10 18:05:22.935,297,297
2018-10-10 18:05:40.935,151,151
2018-10-10 18:05:55.335,177,177
2018-10-10 18:06:13.335,156,156
2018-10-10 18:06:27.735,143,143
2018-10-10 18:06:45.735,135,135
2018-10-10 18:07:00.135,149,149
2018-10-10 18:07:18.135,151,151
2018-10-10 18:07:32.535,136,136
2018-10-10 18:07:50.535,154,154
2018-10-10 18:08:04.935,139,139
2018-10-10 18:08:22.935,146,146
2018-10-10 18:08:37.335,133,133
2018-10-10 18:08:55.335,143,143
2018-10-10 18:09:09.735,147,147
2018-10-10 18:09:27.735,138,138
2018-10-10 18:09:42.135,141,141
2018-10-10 18:10:00.135,124,124
2018-10-10 18:10:14.535,121,121
2018-10-10 18:10:32.535,125,125
2018-10-10 18:10:46.935,133,133
2018-10-10 18:11:04.935,144,144
2018-10-10 18:11:19.335,160,160
2018-10-10 18:11:37.335,129,129
2018-10-10 18:11:51.735,148,148
2018-10-10 18:12:09.735,138,138
2018-10-10 18:12:24.135,148,148
2018-10-10 18:12:42.135,158,158
2018-10-10 18:12:56.535,142,142
2018-10-10 18:13:14.535,127,127
2018-10-10 18:13:28.935,151,151
2018-10-10 18:13:46.935,140,140
2018-10-10 18:14:01.335,149,149
